model,feature_set,mae,rmse,r2
random_forest_n200_leaf2_featsqrt_depth6,descriptors_plus_morgan_512,1.0008026460235673,1.1333500096784217,0.026949047253608693
random_forest_n200_leaf2_featsqrt_depthnone,descriptors_plus_morgan_512,1.0008026460235673,1.1333500096784217,0.026949047253608693
random_forest_n500_leaf1_featsqrt_depthnone,descriptors_plus_similarity_plus_morgan_512,1.0008084210526316,1.1364572598442195,0.021606200971837408
knn_k5_distance,descriptors_plus_morgan_2048,1.0011782525314437,1.223230579649685,-0.1335068158070707
random_forest_n500_leaf1_featsqrt_depthnone,descriptors_plus_morgan_512,1.0012168421052619,1.1382606094711714,0.018498673687268763
random_forest_n500_leaf1_featsqrt_depth4,descriptors_plus_morgan_512,1.0013964426830468,1.1375483941647109,0.019726549914586
random_forest_n500_leaf1_featsqrt_depth6,descriptors_plus_similarity_plus_morgan_512,1.0017445409356722,1.137087252118626,0.020521159939475786
random_forest_n200_leaf1_featsqrt_depthnone,descriptors_plus_morgan_512,1.0022947368421051,1.1438526966261637,0.008831075056805693
random_forest_n500_leaf1_featsqrt_depth4,descriptors_plus_similarity_plus_morgan_512,1.0035889266961109,1.1402446662075783,0.015074059886309388
random_forest_n500_leaf1_featsqrt_depthnone,descriptors,1.0039231578947363,1.1634332815467006,-0.025393224205962905
random_forest_n500_leaf1_featsqrt_depth6,descriptors,1.004251966165413,1.1637754555131272,-0.02599646371761577
random_forest_n200_leaf1_featsqrt_depthnone,morgan_2048,1.0050921052631576,1.1648637337858332,-0.027916235648645094
random_forest_n500_leaf1_featsqrt_depth6,descriptors_plus_morgan_512,1.0061018488266114,1.1430873097353613,0.010157074275827571
knn_k5_uniform,descriptors_plus_similarity_plus_morgan_1024,1.0069473684210526,1.2112346028568928,-0.11138368121569564
random_forest_n500_leaf1_featsqrt_depth6,descriptors_plus_morgan_2048,1.007068341117946,1.1488504871971765,0.0001508024547726139
knn_k5_distance,descriptors_plus_morgan_512,1.0077010198365626,1.167164434034528,-0.03198068118280317
random_forest_n500_leaf1_featsqrt_depthnone,descriptors_plus_morgan_2048,1.0080905263157895,1.1516311853147583,-0.004695160584917035
random_forest_n200_leaf1_featsqrt_depth6,descriptors_plus_morgan_512,1.0082569729247362,1.1509114751097658,-0.003439787471745781
random_forest_n500_leaf2_feat0p5_depth4,morgan_512,1.009071266917293,1.1842705602416381,-0.06245206137332904
random_forest_n500_leaf2_feat0p5_depth6,morgan_512,1.0090948145363405,1.1844751861214284,-0.06281924768602765
random_forest_n500_leaf2_feat0p5_depthnone,morgan_512,1.0090948145363405,1.1844751861214284,-0.06281924768602765
random_forest_n200_leaf2_feat0p3_depth4,morgan_512,1.0095161622807014,1.1759670627605632,-0.04760555517196874
random_forest_n200_leaf1_featsqrt_depth6,morgan_1024,1.010153144414066,1.161796441800933,-0.022509992767564935
random_forest_n200_leaf2_feat0p3_depth6,morgan_512,1.0102622827903087,1.1765571447002647,-0.04865716321854663
random_forest_n200_leaf2_feat0p3_depthnone,morgan_512,1.0102622827903087,1.1765571447002647,-0.04865716321854663
random_forest_n200_leaf1_featsqrt_depth6,morgan_2048,1.0107693203653074,1.1697188781708627,-0.03650278900948978
knn_k5_uniform,descriptors_plus_similarity_plus_morgan_2048,1.0112631578947369,1.2317039117887827,-0.14926483462892137
random_forest_n500_leaf1_feat0p5_depth6,descriptors,1.0114405438596492,1.1688420035352503,-0.03494935193619586
random_forest_n500_leaf1_feat0p3_depthnone,morgan_512,1.011563157894736,1.192264534219606,-0.07684383897021085
random_forest_n500_leaf1_feat0p5_depthnone,descriptors,1.0116399999999997,1.1676511709996447,-0.032841584525466816
random_forest_n500_leaf1_feat0p3_depth4,descriptors_plus_morgan_512,1.0116650988806508,1.1703325551663084,-0.037590648296006446
random_forest_n500_leaf1_feat0p3_depth6,morgan_512,1.0118920352016394,1.1915493118530913,-0.07555226018718386
knn_k5_distance,morgan_1024,1.0119547367834822,1.2529239367649794,-0.18920544672819806
random_forest_n500_leaf1_feat0p3_depth6,descriptors_plus_morgan_512,1.012637788714209,1.1724647742754888,-0.04137484783449885
random_forest_n200_leaf1_featsqrt_depth6,descriptors_plus_morgan_2048,1.0127007153299912,1.1575490856701587,-0.015047367968447745
knn_k3_distance,morgan_512,1.0127229710053856,1.2209345953272714,-0.12925566073763184
