variant,feature_set,model,evaluation,mae,rmse,r2
dedup_rows,base_morgan3_512,ridge,loocv,0.9696584416662428,1.1469024892347988,0.0035386287238502456
raw_rows,base_morgan2_256,enet,loocv,0.8366035323401048,1.1261995164003893,0.0024634669494669748
raw_rows,graph_morgan2_256,enet,loocv,0.8388424850444417,1.126256595415367,0.002362348373615597
raw_rows,base_graph_morgan2_256_sim,enet,loocv,0.8338100278887814,1.1279724097100614,-0.0006797023559659277
raw_rows,spectral,gpr_rbf,loocv,0.9686146245269754,1.1285622954657255,-0.0017266092587009396
dedup_rows,graph,svr_rbf,loocv,0.9196811870825804,1.1511772518693855,-0.0039032840552026826
raw_rows,base_graph_spectral,gpr_rbf,loocv,0.9659131904443508,1.130656751890754,-0.005448193097817411
dedup_rows,base_graph_morgan2_512,rf,loocv,1.021943859649123,1.1525268553403438,-0.006258552209494672
dedup_rows,graph_morgan3_512,enet,loocv,0.9476827648515178,1.1531332090408288,-0.007317632257833218
raw_rows,morgan2_512,ridge,loocv,0.8446486776467329,1.1317092993935944,-0.0073210418990363735
raw_rows,graph,gpr_rbf,loocv,0.9493821175969083,1.1318123724573976,-0.007504538481155176
dedup_rows,base_morgan2_256,rf,loocv,1.029571929824563,1.1546973868021526,-0.010052255562523094
raw_rows,spectral,gpr_matern,loocv,0.9827175572244277,1.1350891351036754,-0.013346729764385667
dedup_rows,base_graph_morgan2_512,svr_rbf,loocv,1.036453137349374,1.1568276896709158,-0.013782587154740567
raw_rows,atom_pair512,gpr_matern,loocv,0.9862790295492487,1.1354450733506665,-0.013982354578964573
raw_rows,morgan3_512,gpr_matern,loocv,0.9862792359022331,1.1354451432718191,-0.013982479461830177
raw_rows,base_morgan3_512,gpr_matern,loocv,0.9862792377236373,1.1354451438254785,-0.013982480450694945
raw_rows,graph_morgan3_512,gpr_matern,loocv,0.9862792383528186,1.1354451440213273,-0.01398248080049136
raw_rows,base_graph_morgan3_512,gpr_matern,loocv,0.9862792401668613,1.1354451445832578,-0.013982481804128755
raw_rows,base_graph_morgan3_512_sim,gpr_matern,loocv,0.9862792415974522,1.1354451450275769,-0.013982482597705959
raw_rows,atom_pair512,gpr_rbf,loocv,0.9862793773806877,1.135445187761191,-0.01398255892219824
raw_rows,morgan3_512,gpr_rbf,loocv,0.9862793773806913,1.135445187761192,-0.013982558922199795
raw_rows,base_morgan3_512,gpr_rbf,loocv,0.9862793773806913,1.135445187761192,-0.013982558922200017
raw_rows,graph_morgan3_512,gpr_rbf,loocv,0.9862793773806913,1.135445187761192,-0.013982558922200017
raw_rows,base_graph_morgan3_512,gpr_rbf,loocv,0.9862793773806913,1.135445187761192,-0.013982558922200017
raw_rows,base_graph_morgan3_512_sim,gpr_rbf,loocv,0.9862793773806913,1.135445187761192,-0.013982558922200017
dedup_rows,morgan2_512,extra,loocv,0.9488649122807011,1.1574562789666385,-0.014884611287240723
